               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  66,            0.036526,           0.0087875,           0.0030895,             0.51494,             0.51426,             0.41564,             0.24193,            0.062501,            0.006395,             0.01339,           0.0067825,           0.0067825,           0.0067825
                  67,            0.038234,           0.0085457,           0.0031518,             0.54314,             0.47356,             0.43394,             0.29608,            0.063511,           0.0066117,            0.014351,            0.006733,            0.006733,            0.006733
                  68,            0.037919,           0.0093215,           0.0029787,              0.5692,             0.52539,             0.44571,             0.30174,            0.059613,           0.0068415,            0.014776,           0.0066835,           0.0066835,           0.0066835
                  69,             0.03344,           0.0088515,           0.0028298,             0.38312,             0.51944,             0.42391,             0.27365,            0.062978,           0.0065821,            0.016172,            0.006634,            0.006634,            0.006634
                  70,            0.036457,           0.0092899,           0.0030099,             0.56672,             0.51953,             0.45277,             0.28935,            0.061561,           0.0063911,            0.017498,           0.0065845,           0.0065845,           0.0065845
                  71,             0.03652,           0.0083206,           0.0030479,             0.56729,             0.48242,             0.44199,             0.27121,            0.060537,           0.0062537,            0.017792,            0.006535,            0.006535,            0.006535
                  72,            0.033675,           0.0084914,           0.0028893,             0.56201,              0.4877,             0.49747,              0.3341,            0.061544,           0.0061865,            0.017988,           0.0064855,           0.0064855,           0.0064855
                  73,            0.032179,           0.0083282,           0.0028231,             0.44184,             0.51834,             0.49743,              0.3345,            0.061572,            0.006278,            0.018324,            0.006436,            0.006436,            0.006436
                  74,            0.034444,           0.0087949,           0.0026626,               0.554,             0.47359,             0.41918,             0.26635,            0.059585,           0.0064782,            0.018223,           0.0063865,           0.0063865,           0.0063865
                  75,            0.035383,           0.0092931,           0.0031459,             0.54263,             0.46214,             0.41674,             0.25916,            0.060708,           0.0065648,            0.017653,            0.006337,            0.006337,            0.006337
                  76,            0.032658,           0.0077474,           0.0035786,             0.49538,             0.51473,              0.4222,             0.28058,            0.060789,           0.0066112,              0.0173,           0.0062875,           0.0062875,           0.0062875
                  77,            0.032912,           0.0078036,           0.0028076,             0.52951,             0.47032,             0.42859,             0.26817,            0.062786,           0.0067002,            0.015378,            0.006238,            0.006238,            0.006238
                  78,             0.03505,           0.0080103,           0.0033325,             0.46849,             0.55695,             0.45619,             0.27425,            0.060639,           0.0063598,            0.014558,           0.0061885,           0.0061885,           0.0061885
                  79,            0.032585,           0.0078165,            0.003043,             0.55584,             0.55938,             0.46252,             0.32211,            0.060291,           0.0062851,              0.0148,            0.006139,            0.006139,            0.006139
                  80,             0.03226,           0.0071326,           0.0029602,             0.53161,             0.55598,             0.46367,             0.33362,            0.059754,           0.0063397,            0.014544,           0.0060895,           0.0060895,           0.0060895
